node,frac_in_gam,proxy,gam_majority,gam_any,empirical,canton
SAN JOSE|CENTRAL|CARMEN,0.9999999999999992,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|MERCED,0.9999999999999998,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|HOSPITAL,1.0000000000000004,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|CATEDRAL,1.0000000000000009,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|ZAPOTE,0.9999999999999986,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|SAN FRANCISCO DE DOS RIOS,1.0000000000000036,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|URUCA,1.000000000000003,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|MATA REDONDA,0.9999999999999993,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|PAVAS,0.9999999999999948,True,True,True,1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|HATILLO,0.9999999999999998,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|CENTRAL|SAN SEBASTIAN,0.9999999999999993,True,True,True,-1,SAN JOSE|CENTRAL
SAN JOSE|ESCAZU|ESCAZU,0.9999999999999996,True,True,True,-1,SAN JOSE|ESCAZU
SAN JOSE|ESCAZU|SAN ANTONIO,0.9996207701874291,True,True,True,-1,SAN JOSE|ESCAZU
SAN JOSE|ESCAZU|SAN RAFAEL,1.0,True,True,True,-1,SAN JOSE|ESCAZU
SAN JOSE|DESAMPARADOS|DESAMPARADOS,0.999999999999999,True,True,True,-1,SAN JOSE|DESAMPARADOS
SAN JOSE|DESAMPARADOS|SAN MIGUEL,0.9985619173143884,True,True,True,1,SAN JOSE|DESAMPARADOS
SAN JOSE|DESAMPARADOS|SAN JUAN DE DIOS,0.9999999999999997,True,True,True,1,SAN JOSE|DESAMPARADOS
SAN JOSE|DESAMPARADOS|SAN RAFAEL ARRIBA,0.9999999999999996,True,True,True,-1,SAN JOSE|DESAMPARADOS
SAN JOSE|DESAMPARADOS|SAN ANTONIO,0.9999999999999988,True,True,True,-1,SAN JOSE|DESAMPARADOS
SAN JOSE|DESAMPARADOS|FRAILES,0.0,True,False,False,-1,SAN JOSE|DESAMPARADOS
SAN JOSE|DESAMPARADOS|PATARRA,1.0000000000000013,True,True,True,1,SAN JOSE|DESAMPARADOS
SAN JOSE|DESAMPARADOS|SAN CRISTOBAL,0.004080289557250706,True,False,False,-1,SAN JOSE|DESAMPARADOS
