,population
SAN JOSE|GOICOECHEA|GUADALUPE,20147
CARTAGO|CENTRAL|PITAHAYA,8104
SAN JOSE|GOICOECHEA|FACIO Y LA MORA,11610
SAN JOSE|MORAVIA|SAN VICENTE,22334
SAN JOSE|CENTRAL|RINCON GRANDE,21597
SAN JOSE|MORA|SAN BOSCO,1630
SAN JOSE|ALAJUELITA|CONCEPCION ABAJO,8326
SAN JOSE|DESAMPARADOS|CRISTO REY,1058
SAN JOSE|PURISCAL|GRIFO ALTO,896
CARTAGO|CENTRAL|RIO CONEJO,779
SAN JOSE|PEREZ ZELEDON|LA AURORA,3521
SAN JOSE|CENTRAL|BARRIO MEXICO,8475
SAN JOSE|PURISCAL|ALTO LA PALMA,302
HEREDIA|SAN PABLO|MIRAFLORES,3600
SAN JOSE|CENTRAL|ZAPOTE,13169
SAN JOSE|MORAVIA|LA TRINIDAD (GUAYABAL),11233
SAN JOSE|ACOSTA|URUCA,194
ALAJUELA|CENTRAL|HLE. SANTIAGO CRESPO CALVO,131
SAN JOSE|CENTRAL|LA CAJA,3036
SAN JOSE|DESAMPARADOS|LA CAPRI,5144
SAN JOSE|ACOSTA|PALMICHAL,2322
SAN JOSE|CENTRAL|CATEDRAL,1560
LIMON|POCOCI|LAS PALMITAS,1516
SAN JOSE|PEREZ ZELEDON|SAN ISIDRO DE EL GENERAL,6995
ALAJUELA|POAS|SAN PEDRO,7095
PUNTARENAS|PARRITA|LA JULIETA,1904
HEREDIA|CENTRAL|LA AURORA (PARTE SUR),9628
SAN JOSE|DESAMPARADOS|SAN RAFAEL ARRIBA,11603
SAN JOSE|CENTRAL|COLONIA KENNEDY,3666
SAN JOSE|CURRIDABAT|CIPRESES,4073
SAN JOSE|DESAMPARADOS|DESAMPARADOS,9631
SAN JOSE|MORA|QUITIRRISI,1037
SAN JOSE|VAZQUEZ DE CORONADO|SAN RAFAEL,5192
SAN JOSE|PURISCAL|MERCEDES NORTE,1504
CONSULADO|MEXICO|MEXICO,1281
SAN JOSE|CENTRAL|SANTA MARTA,6924
PUNTARENAS|CENTRAL|CHACARITA,7146
SAN JOSE|SANTA ANA|RIO ORO,5701
ALAJUELA|CENTRAL|VILLA BONITA (PARTE SUR),6136
PUNTARENAS|COTO BRUS|FLOR DEL ROBLE,491
GUANACASTE|NICOYA|SANTA ANA,761
ALAJUELA|CENTRAL|SAN RAFAEL ESTE,7832
SAN JOSE|GOICOECHEA|MATA DE PLATANO O CARMEN,13723
ALAJUELA|ATENAS|GUACIMO,113
GUANACASTE|NANDAYURE|SANTA RITA,996
CARTAGO|TURRIALBA|HLE. SAN BUENAVENTURA,52
SAN JOSE|DESAMPARADOS|SAN ANTONIO,9467
SAN JOSE|CENTRAL|PASO ANCHO SUR,9785
SAN JOSE|PURISCAL|SAN JUAN,1216
LIMON|MATINA|BARBILLA NORTE,406
SAN JOSE|SANTA ANA|PIEDADES,5665
SAN JOSE|MORA|TABARCIA,1489
SAN JOSE|SANTA ANA|SANTA ANA,7653
PUNTARENAS|OSA|SAN FRANCISCO DE RIO TINOCO,732
SAN JOSE|TURRUBARES|SAN PABLO,1458
SAN JOSE|CENTRAL|CARMEN,1270
SAN JOSE|ESCAZU|CARMEN (CHIVERRAL),3002
LIMON|GUACIMO|POCORA PARTE NORTE,2551
SAN JOSE|ESCAZU|SAN ANTONIO,12913
SAN JOSE|CENTRAL|SAN SEBASTIAN,11341
SAN JOSE|MORA|COLON,8704
ALAJUELA|CENTRAL|NUESTRO AMO,2114
GUANACASTE|NICOYA|COPAL,692
SAN JOSE|TIBAS|ANSELMO LLORENTE,8590
SAN JOSE|TIBAS|FLORIDA (INVU),6556
CARTAGO|LA UNION|CONCEPCION,10328
SAN JOSE|CENTRAL|VILLA ESPERANZA,9850
SAN JOSE|CENTRAL|MARIA REINA,5866
HEREDIA|CENTRAL|MERCEDES NORTE,12160
ALAJUELA|GRECIA|CARBONAL (CRISTO REY),999
SAN JOSE|PURISCAL|SALITRALES,171
SAN JOSE|CENTRAL|SAN FRANCISCO DE DOS RIOS,11231
SAN JOSE|CENTRAL|BARRIO LUJAN,5154
HEREDIA|CENTRAL|HEREDIA,17297
