,registered_voters
ALAJUELA|ATENAS|ATENAS,7215
ALAJUELA|ATENAS|CONCEPCION,2943
ALAJUELA|ATENAS|ESCOBAL,655
ALAJUELA|ATENAS|JESUS,2645
ALAJUELA|ATENAS|MERCEDES,2476
ALAJUELA|ATENAS|SAN ISIDRO,2294
ALAJUELA|ATENAS|SAN JOSE,1317
ALAJUELA|ATENAS|SANTA EULALIA,1741
ALAJUELA|CENTRAL|ALAJUELA,41291
ALAJUELA|CENTRAL|CARRIZAL,5389
ALAJUELA|CENTRAL|DESAMPARADOS,20760
ALAJUELA|CENTRAL|GARITA,4790
ALAJUELA|CENTRAL|GUACIMA,17148
ALAJUELA|CENTRAL|RIO SEGUNDO,7856
ALAJUELA|CENTRAL|SABANILLA,6071
ALAJUELA|CENTRAL|SAN ANTONIO,22914
ALAJUELA|CENTRAL|SAN ISIDRO,12751
ALAJUELA|CENTRAL|SAN JOSE,34511
ALAJUELA|CENTRAL|SAN RAFAEL,20918
ALAJUELA|CENTRAL|SARAPIQUI,1992
ALAJUELA|CENTRAL|TAMBOR,10180
ALAJUELA|CENTRAL|TURRUCARES,6120
ALAJUELA|GRECIA|BOLIVAR,6094
ALAJUELA|GRECIA|GRECIA,15432
ALAJUELA|GRECIA|PUENTE DE PIEDRA,8426
ALAJUELA|GRECIA|SAN ISIDRO,4320
ALAJUELA|GRECIA|SAN JOSE,6434
ALAJUELA|GRECIA|SAN ROQUE,8451
ALAJUELA|GRECIA|TACARES,5944
ALAJUELA|GUATUSO|BUENAVISTA,1090
ALAJUELA|GUATUSO|COTE,540
ALAJUELA|GUATUSO|KATIRA,4132
ALAJUELA|GUATUSO|SAN RAFAEL,5832
ALAJUELA|LOS CHILES|CAÑO NEGRO,1145
ALAJUELA|LOS CHILES|EL AMPARO,3420
ALAJUELA|LOS CHILES|LOS CHILES,7740
ALAJUELA|LOS CHILES|SAN JORGE,1564
ALAJUELA|NARANJO|CIRRI SUR,3629
ALAJUELA|NARANJO|EL ROSARIO,2963
ALAJUELA|NARANJO|NARANJO,12515
ALAJUELA|NARANJO|PALMITOS,3552
ALAJUELA|NARANJO|SAN JERONIMO,2549
ALAJUELA|NARANJO|SAN JOSE,2366
ALAJUELA|NARANJO|SAN JUAN,2543
ALAJUELA|NARANJO|SAN MIGUEL,2834
ALAJUELA|OROTINA|COYOLAR,4384
ALAJUELA|OROTINA|EL MASTATE,1130
ALAJUELA|OROTINA|HACIENDA VIEJA,993
ALAJUELA|OROTINA|LA CEIBA,1304
ALAJUELA|OROTINA|OROTINA,7830
ALAJUELA|PALMARES|BUENOS AIRES,5047
ALAJUELA|PALMARES|CANDELARIA,1629
ALAJUELA|PALMARES|ESQUIPULAS,5022
ALAJUELA|PALMARES|LA GRANJA,3114
ALAJUELA|PALMARES|PALMARES,4813
ALAJUELA|PALMARES|SANTIAGO,1890
ALAJUELA|PALMARES|ZARAGOZA,8038
ALAJUELA|POAS|CARRILLOS,7021
ALAJUELA|POAS|SABANA REDONDA,2018
ALAJUELA|POAS|SAN JUAN,2665
ALAJUELA|POAS|SAN PEDRO,7908
ALAJUELA|POAS|SAN RAFAEL,4004
ALAJUELA|RIO CUARTO|RIO CUARTO,2438
ALAJUELA|RIO CUARTO|SANTA ISABEL,1660
ALAJUELA|RIO CUARTO|SANTA RITA,2682
ALAJUELA|SAN CARLOS|AGUAS ZARCAS,15198
ALAJUELA|SAN CARLOS|BUENAVISTA,321
ALAJUELA|SAN CARLOS|CUTRIS,5447
ALAJUELA|SAN CARLOS|FLORENCIA,11786
ALAJUELA|SAN CARLOS|LA FORTUNA,11163
ALAJUELA|SAN CARLOS|LA PALMERA,4793
ALAJUELA|SAN CARLOS|LA TIGRA,4684
ALAJUELA|SAN CARLOS|MONTERREY,2350
ALAJUELA|SAN CARLOS|PITAL,9738
ALAJUELA|SAN CARLOS|POCOSOL,9293
ALAJUELA|SAN CARLOS|QUESADA,35125
ALAJUELA|SAN CARLOS|VENADO,1116
ALAJUELA|SAN CARLOS|VENECIA,6792
ALAJUELA|SAN MATEO|DESMONTE,513
ALAJUELA|SAN MATEO|JESUS MARIA,886
ALAJUELA|SAN MATEO|LABRADOR,1082
ALAJUELA|SAN MATEO|SAN MATEO,2526
ALAJUELA|SAN RAMON|ALFARO,4552
ALAJUELA|SAN RAMON|ANGELES,3967
ALAJUELA|SAN RAMON|CONCEPCION,2027
ALAJUELA|SAN RAMON|PEÑAS BLANCAS,6077
ALAJUELA|SAN RAMON|PIEDADES NORTE,6536
ALAJUELA|SAN RAMON|PIEDADES SUR,3404
ALAJUELA|SAN RAMON|SAN ISIDRO,3442
ALAJUELA|SAN RAMON|SAN JUAN,9852
ALAJUELA|SAN RAMON|SAN LORENZO,3149
ALAJUELA|SAN RAMON|SAN RAFAEL,7417
ALAJUELA|SAN RAMON|SAN RAMON,11184
ALAJUELA|SAN RAMON|SANTIAGO,4091
ALAJUELA|SAN RAMON|VOLIO,2012
ALAJUELA|SAN RAMON|ZAPOTAL,300
ALAJUELA|SARCHI|RODRIGUEZ,1595
ALAJUELA|SARCHI|SAN PEDRO,2393
ALAJUELA|SARCHI|SARCHI NORTE,6610
ALAJUELA|SARCHI|SARCHI SUR,4640
ALAJUELA|SARCHI|TORO AMARILLO,176
ALAJUELA|UPALA|AGUAS CLARAS,3814
ALAJUELA|UPALA|BIJAGUA,3544
ALAJUELA|UPALA|CANALETE,2983
ALAJUELA|UPALA|DELICIAS,2642
ALAJUELA|UPALA|DOS RIOS,2018
ALAJUELA|UPALA|SAN JOSE O PIZOTE,5155
ALAJUELA|UPALA|UPALA,9099
ALAJUELA|UPALA|YOLILLAL,2522
ALAJUELA|ZARCERO|BRISAS,1350
ALAJUELA|ZARCERO|GUADALUPE,562
ALAJUELA|ZARCERO|LAGUNA,1231
ALAJUELA|ZARCERO|PALMIRA,1035
ALAJUELA|ZARCERO|TAPESCO,990
ALAJUELA|ZARCERO|ZAPOTE,447
ALAJUELA|ZARCERO|ZARCERO,3807
CARTAGO|ALVARADO|CAPELLADES,1260
CARTAGO|ALVARADO|CERVANTES,4985
CARTAGO|ALVARADO|PACAYAS,4330
CARTAGO|CENTRAL|AGUACALIENTE O SAN FRANCISCO,26743
CARTAGO|CENTRAL|CARMEN,13378
CARTAGO|CENTRAL|CORRALILLO,8876
CARTAGO|CENTRAL|DULCE NOMBRE,9353
CARTAGO|CENTRAL|GUADALUPE O ARENILLA,11483
CARTAGO|CENTRAL|LLANO GRANDE,3550
CARTAGO|CENTRAL|OCCIDENTAL,8850
CARTAGO|CENTRAL|ORIENTAL,12638
CARTAGO|CENTRAL|QUEBRADILLA,5725
CARTAGO|CENTRAL|SAN NICOLAS,20347
CARTAGO|CENTRAL|TIERRA BLANCA,4761
